entity_type,canonical_id,canonical_name,alias
company,tsmc,台积电,台积电
company,tsmc,台积电,TSMC
company,tsmc,台积电,Taiwan Semiconductor
company,pop_mart,泡泡玛特,泡泡玛特
company,pop_mart,泡泡玛特,POP MART
company,pop_mart,泡泡玛特,Pop Mart
company,tripcom,携程集团,携程集团
company,tripcom,携程集团,携程
company,tripcom,携程集团,Trip.com
company,tripcom,携程集团,Trip.com Group
company,catl,宁德时代,宁德时代
company,catl,宁德时代,CATL
company,broadcom,博通,博通
company,broadcom,博通,Broadcom
company,openai,OpenAI,OpenAI
company,openai,OpenAI,OpenAI Inc
company,lenovo_holdings,联想控股,联想控股
company,lenovo_holdings,联想控股,Lenovo Holdings
company,northwest_bank,Northwest Bank,Northwest Bank
company,diebold_nixdorf,Diebold Nixdorf,Diebold Nixdorf
company,paramount,Paramount,Paramount
company,trinet,TriNet,TriNet
